"Leading University
Department of Computer Science & Engineering
Class Routine, Spring-2024",,,,,,,,,,7-Jun-2024
TUESDAY,Batch,Section,08:55-9:45AM,9:50-10:40AM,10:45-11:35AM,11:40-12:30PM,12:35-1:25PM,1:30-2:10PM,2:15-3:05PM,3:10-4:00PM
,63,A,,,MAT-1151 (A) ABR RAB-202,MAT-1151 (A) ABR RAB-202,CSE-1151 (A) STA RAB-304,,CSE-1102 (A) EBH ACL-2,CSE-1102 (A) EBH ACL-2
,63,B,GED-1122 (B) AHQ GL,GED-1122 (B) AHQ GL,CSE-1151 (B) STA RAB-304,,GED-1262 (B) ACL-3,GED-1262 (B) ACL-3,GED-1145 (B) G2,GED-1145 (B) G2
,63,C,CSE-1102 (C) EBH ACL-2,CSE-1102 (C) EBH ACL-2,,CSE-1151 (C) STA RAB-304,MAT-1151 (C) ABR RKB-106,MAT-1151 (C) ABR RKB-106,,
,63,D,,,,,,,,
,63,E,,,CSE-1102 (E) PRP ACL-2,MAT-1151 (E) AMH RAB-109,GED-1122 (E) PRP GL,GED-1122 (E) PRP GL,,
,63,F,,,,,,,,
,62,A,,,,,MAT-1251 (A) KJH RAB-109,CSE-1211 (A) MJR RAB-302,CSE-1212 (A) MJR ACL-3,CSE-1212 (A) MJR ACL-3
,62,B,,,,,,,,
,62,C,GED-1201 (C) G3,GED-1201 (C) G3,MAT-1251 (C) KJH RAB-306,MAT-1251 (C) KJH RAB-306,,,,
,62,D,EEE-1222 (D) AFB ECL,EEE-1222 (D) AFB ECL,CSE-1211 (D) MJR RAB-109,,GED-1171 (D) RKB-405,GED-1171 (D) RKB-405,EEE-1221 (D) AFB RKB-103,EEE-1221 (D) AFB RKB-103
,62,E,,,,,,,,
,62,F,PHY-1272 (F) NP-2 Phy.L,PHY-1272 (F) NP-2 Phy.L,PHY-1272 (F) NP-2 Phy.L,EEE-1221 (F) IAC RAB-206,EEE-1221 (F) IAC RAB-206,,GED-1231 (F) RKB-403,GED-1231 (F) RKB-403
,62,G,,,,,,,,
,62,H,CSE-1212 (H) DCP ACL-3,CSE-1212 (H) DCP ACL-3,,,EEE-1221 (H) STH RAB-309,EEE-1221 (H) STH RAB-309,EEE-1222 (H) STH ECL,EEE-1222 (H) STH ECL
,62,I,,,,,,CSE-1211 (I) DCP RAB-202,CSE-1212 (I) DCP ACL-1,CSE-1212 (I) DCP ACL-1
,61,A,CSE-2112 (A) PRB ACL-1,CSE-2111 (A) PRB RKB-106,EEE-2122 (A) MKH ECL,EEE-2122 (A) MKH ECL,,,EEE-2121 (A) MKH RAB-206,EEE-2121 (A) MKH RAB-206
,61,B,,,,,,,,
,61,C,,,,,,,,
,61,D,EEE-2122 (D) SHD RAB-206,,CSE-2111 (D) PRB RKB-103,CSE-2112 (D) PRB ACL-1,CSE-2112 (D) PRB ACL-1,,MAT-2151 (D) SAB RAB-302,MAT-2151 (D) SAB RAB-302
,61,E,,,,,,,,
,60,A,GED-4251 (A) G2,GED-4251 (A) G2,CSE-2231 RLP RAB-302,,CSE-2222 (A) RMS ECL,CSE-2222 (A) RMS ECL,CSE-2222 (A) RMS RAB-306,CSE-2201 (A) ASD RAB-306
,60,B,CSE-2221 (B) AFZ RAB-309,CSE-2221 (B) AFZ RAB-309,,CSE-2231 RLP RAB-302,GED-4251 (B) G2,GED-4251 (B) G2,,
